probe_id,source_id,endpoint,model,date_local,cp,cp_utc,target_valid_time_utc,selected_run_time_utc,selected_available_time_utc,selected_lead_h,causal_class,success,error,production_status
om_probe_00092,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-07-15,23:00,2023-07-15T11:00:00+00:00,2023-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00093,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-10-15,20:00,2023-10-15T07:00:00+00:00,2023-10-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00094,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-10-15,21:00,2023-10-15T08:00:00+00:00,2023-10-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00095,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-10-15,22:00,2023-10-15T09:00:00+00:00,2023-10-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00096,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2023-10-15,23:00,2023-10-15T10:00:00+00:00,2023-10-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00097,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-01-15,20:00,2024-01-15T07:00:00+00:00,2024-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00098,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-01-15,21:00,2024-01-15T08:00:00+00:00,2024-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00099,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-01-15,22:00,2024-01-15T09:00:00+00:00,2024-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00100,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-01-15,23:00,2024-01-15T10:00:00+00:00,2024-01-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00101,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-04-15,20:00,2024-04-15T08:00:00+00:00,2024-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00102,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-04-15,21:00,2024-04-15T09:00:00+00:00,2024-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00103,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-04-15,22:00,2024-04-15T10:00:00+00:00,2024-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00104,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-04-15,23:00,2024-04-15T11:00:00+00:00,2024-04-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00105,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-07-15,20:00,2024-07-15T08:00:00+00:00,2024-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00106,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-07-15,21:00,2024-07-15T09:00:00+00:00,2024-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00107,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-07-15,22:00,2024-07-15T10:00:00+00:00,2024-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00108,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-07-15,23:00,2024-07-15T11:00:00+00:00,2024-07-15T11:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00109,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-10-15,20:00,2024-10-15T07:00:00+00:00,2024-10-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00110,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-10-15,21:00,2024-10-15T08:00:00+00:00,2024-10-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00111,previous_runs_gfs_temperature,previous_runs,gfs_seamless,2024-10-15,22:00,2024-10-15T09:00:00+00:00,2024-10-15T10:00:00+00:00,,,,fixed_lead_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
