method,candidate_version,macro_regime_label,cp,n_train,n_test,n_assigned,n_low_confidence,coverage_share,low_confidence_share,mean_entropy,mean_margin,silhouette_score,davies_bouldin_score,calinski_harabasz_score,purity_vs_v21,nmi_vs_v21,ari_vs_v21,temporal_stability,fold_stability,dead_regime_flag,production_status
som_topological,v2.2,macro_nw_continuum,20:00,2452,64,2516,0,0.11528592375366568,0.0,0.0,0.8076163988196706,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
som_topological,v2.2,macro_nw_continuum,21:00,2615,68,2683,0,0.12293804985337244,0.0,0.0,0.8499890528171054,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
som_topological,v2.2,macro_nw_continuum,22:00,2775,74,2849,0,0.1305443548387097,0.0,0.0,0.8927526170025495,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
som_topological,v2.2,macro_nw_continuum,23:00,2950,79,3029,0,0.13879215542521994,0.0,0.0,0.9108711385195121,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
som_topological,v2.2,macro_calm_radiative,20:00,1456,48,1504,0,0.0689149560117302,0.0,0.0,0.8526054586189407,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
som_topological,v2.2,macro_calm_radiative,22:00,1176,40,1216,0,0.05571847507331378,0.0,0.0,0.7778403927124612,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
som_topological,v2.2,macro_calm_radiative,23:00,1005,32,1037,0,0.04751649560117302,0.0,0.0,0.7187389465707869,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
som_topological,v2.2,macro_calm_radiative,21:00,1326,45,1371,0,0.06282074780058651,0.0,0.0,0.8380037018439386,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
som_topological,v2.2,macro_southerly_flow,22:00,1351,40,1391,0,0.06373717008797654,0.0,0.0,0.792903232742207,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
som_topological,v2.2,macro_southerly_flow,21:00,1361,41,1402,0,0.06424120234604105,0.0,0.0,0.817264407533231,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
som_topological,v2.2,macro_southerly_flow,23:00,1347,43,1390,0,0.06369134897360704,0.0,0.0,0.7724201578204869,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
som_topological,v2.2,macro_southerly_flow,20:00,1394,42,1436,0,0.0657991202346041,0.0,0.0,0.8247561956059151,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_calm_radiative,20:00,1456,48,1504,1,0.0689149560117302,0.0006648936170212766,0.0,0.8526054586189407,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_calm_radiative,22:00,1176,40,1216,1,0.05571847507331378,0.0008223684210526315,0.0,0.7778403927124612,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_calm_radiative,23:00,1005,32,1037,1,0.04751649560117302,0.0009643201542912247,0.0,0.7187389465707869,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_calm_radiative,21:00,1326,45,1371,1,0.06282074780058651,0.0007293946024799417,0.0,0.8380037018439386,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_nw_continuum,21:00,2615,68,2683,0,0.12293804985337244,0.0,0.0,0.8499890528171054,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_nw_continuum,22:00,2775,74,2849,0,0.1305443548387097,0.0,0.0,0.8927526170025495,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_nw_continuum,23:00,2950,79,3029,0,0.13879215542521994,0.0,0.0,0.9108711385195121,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_nw_continuum,20:00,2452,64,2516,0,0.11528592375366568,0.0,0.0,0.8076163988196706,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_southerly_flow,23:00,1347,43,1390,0,0.06369134897360704,0.0,0.0,0.7724201578204869,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_southerly_flow,20:00,1394,42,1436,0,0.0657991202346041,0.0,0.0,0.8247561956059151,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_southerly_flow,22:00,1351,40,1391,0,0.06373717008797654,0.0,0.0,0.792903232742207,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
michelangeli_stability,v2.2,macro_southerly_flow,21:00,1361,41,1402,0,0.06424120234604105,0.0,0.0,0.817264407533231,0.0974627786174116,3.935419638676194,69.18286029000991,0.8441558441558441,0.5851972165663839,0.6199137627052295,0.984523193315809,0.523509298265365,false,EXPERIMENT_ONLY
