policy_id,n_days,n_cp_rows,mae,exact_bracket_pct,any_cp_exact_pct,cp23_exact_pct,production_status,slice_type,slice_name
selected_policy,31,124,0.7421309872922783,38.70967741935484,38.70967741935484,38.70967741935484,EXPERIMENT_ONLY,month,2024-03
always_augmented,30,120,0.8215751974086049,48.333333333333336,66.66666666666667,56.666666666666664,EXPERIMENT_ONLY,month,2024-04
always_recent,30,120,0.8301955555555549,36.666666666666664,36.666666666666664,36.666666666666664,EXPERIMENT_ONLY,month,2024-04
always_season,30,120,0.793232323232323,43.333333333333336,43.333333333333336,43.333333333333336,EXPERIMENT_ONLY,month,2024-04
selected_policy,30,120,0.793232323232323,43.333333333333336,43.333333333333336,43.333333333333336,EXPERIMENT_ONLY,month,2024-04
always_augmented,31,124,0.8099931471868707,30.64516129032258,51.61290322580645,29.032258064516128,EXPERIMENT_ONLY,month,2024-05
always_recent,31,124,0.611139784946236,51.61290322580645,51.61290322580645,51.61290322580645,EXPERIMENT_ONLY,month,2024-05
always_season,31,124,0.6417106549364617,48.38709677419355,48.38709677419355,48.38709677419355,EXPERIMENT_ONLY,month,2024-05
selected_policy,31,124,0.6417106549364617,48.38709677419355,48.38709677419355,48.38709677419355,EXPERIMENT_ONLY,month,2024-05
always_augmented,30,120,0.7025386337634896,39.166666666666664,60.0,46.666666666666664,EXPERIMENT_ONLY,month,2024-06
always_recent,30,120,0.6520711111111109,43.333333333333336,43.333333333333336,43.333333333333336,EXPERIMENT_ONLY,month,2024-06
always_season,30,120,0.6584175084175082,50.0,50.0,50.0,EXPERIMENT_ONLY,month,2024-06
selected_policy,30,120,0.6584175084175082,50.0,50.0,50.0,EXPERIMENT_ONLY,month,2024-06
always_augmented,31,124,0.7413436064522545,38.70967741935484,74.19354838709677,41.935483870967744,EXPERIMENT_ONLY,month,2024-07
always_recent,31,124,0.5944602150537632,41.935483870967744,41.935483870967744,41.935483870967744,EXPERIMENT_ONLY,month,2024-07
always_season,31,124,0.587476376669926,41.935483870967744,41.935483870967744,41.935483870967744,EXPERIMENT_ONLY,month,2024-07
selected_policy,31,124,0.587476376669926,41.935483870967744,41.935483870967744,41.935483870967744,EXPERIMENT_ONLY,month,2024-07
always_augmented,31,124,0.7429997910472173,41.935483870967744,61.29032258064516,41.935483870967744,EXPERIMENT_ONLY,month,2024-08
always_recent,31,124,0.6019268817204306,41.935483870967744,41.935483870967744,41.935483870967744,EXPERIMENT_ONLY,month,2024-08
always_season,31,124,0.556384815900945,54.83870967741935,54.83870967741935,54.83870967741935,EXPERIMENT_ONLY,month,2024-08
selected_policy,31,124,0.556384815900945,54.83870967741935,54.83870967741935,54.83870967741935,EXPERIMENT_ONLY,month,2024-08
always_augmented,30,120,0.871775310696711,35.833333333333336,50.0,40.0,EXPERIMENT_ONLY,month,2024-09
always_recent,30,120,0.4711199999999996,63.333333333333336,63.333333333333336,63.333333333333336,EXPERIMENT_ONLY,month,2024-09
always_season,30,120,0.5259999999999998,56.666666666666664,56.666666666666664,56.666666666666664,EXPERIMENT_ONLY,month,2024-09
selected_policy,30,120,0.5259999999999998,56.666666666666664,56.666666666666664,56.666666666666664,EXPERIMENT_ONLY,month,2024-09
always_augmented,31,124,0.9006423548873328,29.032258064516128,48.38709677419355,32.25806451612903,EXPERIMENT_ONLY,month,2024-10
always_recent,31,124,0.7252301075268809,32.25806451612903,32.25806451612903,32.25806451612903,EXPERIMENT_ONLY,month,2024-10
always_season,31,124,0.6358064516129035,54.83870967741935,54.83870967741935,54.83870967741935,EXPERIMENT_ONLY,month,2024-10
selected_policy,31,124,0.6358064516129035,54.83870967741935,54.83870967741935,54.83870967741935,EXPERIMENT_ONLY,month,2024-10
always_augmented,30,120,0.7995751327344055,39.166666666666664,60.0,40.0,EXPERIMENT_ONLY,month,2024-11
always_recent,30,120,0.5445422222222217,60.0,60.0,60.0,EXPERIMENT_ONLY,month,2024-11
always_season,30,120,0.5099999999999999,63.333333333333336,63.333333333333336,63.333333333333336,EXPERIMENT_ONLY,month,2024-11
selected_policy,30,120,0.5099999999999999,63.333333333333336,63.333333333333336,63.333333333333336,EXPERIMENT_ONLY,month,2024-11
always_augmented,31,124,0.7406249448913819,39.516129032258064,54.83870967741935,35.483870967741936,EXPERIMENT_ONLY,month,2024-12
always_recent,31,124,1.0924387096774197,19.35483870967742,19.35483870967742,19.35483870967742,EXPERIMENT_ONLY,month,2024-12
always_season,31,124,1.0299999999999996,22.580645161290324,22.580645161290324,22.580645161290324,EXPERIMENT_ONLY,month,2024-12
selected_policy,31,124,1.0299999999999996,22.580645161290324,22.580645161290324,22.580645161290324,EXPERIMENT_ONLY,month,2024-12
always_augmented,31,124,0.8724001527380506,45.96774193548387,64.51612903225806,48.38709677419355,EXPERIMENT_ONLY,month,2025-01
