stratum_type,stratum_value,year,best_k_by_bic,all_year_best_k_by_bic,best_k_matches_all_year,n_rows,smallest_cluster_rows,eta2_tmax_anomaly,stability_note
month,1,2013,5,6,false,93,8,0.2720227072191031,Year best-k differs from all-year best-k; inspect before regime promotion.
month,10,2013,6,6,true,118,4,0.7791865890461416,Year best-k matches all-year best-k.
month,11,2013,6,6,true,117,4,0.5375435936216456,Year best-k matches all-year best-k.
month,12,2013,6,6,true,112,4,0.5767174946712578,Year best-k matches all-year best-k.
month,2,2013,5,6,false,96,8,0.7160641721278744,Year best-k differs from all-year best-k; inspect before regime promotion.
month,3,2013,6,6,true,119,8,0.462011680062312,Year best-k matches all-year best-k.
month,4,2013,6,6,true,112,4,0.4924395726582245,Year best-k matches all-year best-k.
month,5,2013,6,6,true,120,12,0.42711261857689586,Year best-k matches all-year best-k.
month,6,2013,6,6,true,116,12,0.5649194550424651,Year best-k matches all-year best-k.
month,7,2013,6,6,true,117,8,0.6140171150236842,Year best-k matches all-year best-k.
month,8,2013,6,6,true,122,4,0.5911073311838578,Year best-k matches all-year best-k.
month,9,2013,6,6,true,119,8,0.18764729335095104,Year best-k matches all-year best-k.
season,DJF,2013,6,6,true,301,24,0.1880648799557737,Year best-k matches all-year best-k.
season,JJA,2013,6,6,true,355,44,0.49900005497630995,Year best-k matches all-year best-k.
season,MAM,2013,6,6,true,351,13,0.43871436984526907,Year best-k matches all-year best-k.
season,SON,2013,6,6,true,354,26,0.19380731589112823,Year best-k matches all-year best-k.
month,1,2014,6,6,true,104,8,0.5419539636663914,Year best-k matches all-year best-k.
month,10,2014,6,6,true,112,12,0.4028536733454765,Year best-k matches all-year best-k.
month,11,2014,5,6,false,117,17,0.3283851401234218,Year best-k differs from all-year best-k; inspect before regime promotion.
month,12,2014,6,6,true,110,4,0.275811745059616,Year best-k matches all-year best-k.
month,2,2014,6,6,true,101,5,0.7074024920285039,Year best-k matches all-year best-k.
month,3,2014,6,6,true,120,8,0.41421016222971013,Year best-k matches all-year best-k.
month,4,2014,6,6,true,112,4,0.485218312153796,Year best-k matches all-year best-k.
month,5,2014,6,6,true,120,8,0.48260325229704976,Year best-k matches all-year best-k.
month,6,2014,5,6,false,107,7,0.6016623134215296,Year best-k differs from all-year best-k; inspect before regime promotion.
month,7,2014,6,6,true,120,11,0.7188376392921847,Year best-k matches all-year best-k.
month,8,2014,6,6,true,114,2,0.13715974190066121,Year best-k matches all-year best-k.
month,9,2014,6,6,true,101,4,0.37906363388493874,Year best-k matches all-year best-k.
season,DJF,2014,6,6,true,315,9,0.15604781936651024,Year best-k matches all-year best-k.
season,JJA,2014,6,6,true,341,36,0.543278997784248,Year best-k matches all-year best-k.
season,MAM,2014,6,6,true,352,12,0.3678646671885676,Year best-k matches all-year best-k.
season,SON,2014,6,6,true,330,28,0.3301099138883918,Year best-k matches all-year best-k.
month,1,2015,6,6,true,85,11,0.1817980689840329,Year best-k matches all-year best-k.
month,10,2015,6,6,true,114,6,0.49793972858489,Year best-k matches all-year best-k.
month,11,2015,6,6,true,103,9,0.26653602329129567,Year best-k matches all-year best-k.
month,12,2015,6,6,true,112,8,0.615720908004779,Year best-k matches all-year best-k.
month,2,2015,6,6,true,101,4,0.575691558219557,Year best-k matches all-year best-k.
month,3,2015,5,6,false,120,9,0.5625198017417927,Year best-k differs from all-year best-k; inspect before regime promotion.
month,4,2015,6,6,true,115,12,0.21626917805284954,Year best-k matches all-year best-k.
month,5,2015,6,6,true,116,12,0.49310986164348175,Year best-k matches all-year best-k.
month,6,2015,5,6,false,106,12,0.5671113915949653,Year best-k differs from all-year best-k; inspect before regime promotion.
month,7,2015,6,6,true,105,4,0.5326766255181968,Year best-k matches all-year best-k.
month,8,2015,6,6,true,120,4,0.34424328839728086,Year best-k matches all-year best-k.
month,9,2015,6,6,true,116,12,0.6891518654414387,Year best-k matches all-year best-k.
season,DJF,2015,6,6,true,298,4,0.40088186672298076,Year best-k matches all-year best-k.
season,JJA,2015,5,6,false,331,33,0.4766450365227953,Year best-k differs from all-year best-k; inspect before regime promotion.
season,MAM,2015,6,6,true,351,49,0.42256545287836894,Year best-k matches all-year best-k.
season,SON,2015,6,6,true,333,10,0.3338412866112764,Year best-k matches all-year best-k.
month,1,2016,6,6,true,108,8,0.3040590417505029,Year best-k matches all-year best-k.
month,10,2016,6,6,true,112,8,0.7077481840193703,Year best-k matches all-year best-k.
month,11,2016,6,6,true,109,8,0.2583349492335189,Year best-k matches all-year best-k.
month,12,2016,6,6,true,108,12,0.2982503570699856,Year best-k matches all-year best-k.
month,2,2016,6,6,true,100,8,0.07348635243743984,Year best-k matches all-year best-k.
