stratum_type,stratum_value,k,cluster_id,n_rows,physical_signature,candidate_regime_family,interpretability_score,dominant_current_regime,promotion_readiness
month,10,6,4,393,northerly_nw_flow,nw_or_foehn_candidate,0.3,southerly_disrupted,design_evidence_only
month,10,6,5,164,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,11,2,0,755,northerly_nw_flow;windy;moist_cloudy_or_rain,nw_or_foehn_candidate,0.55,southerly_disrupted,design_evidence_only
month,11,2,1,825,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,11,3,0,688,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,11,3,1,579,northerly_nw_flow;windy;moist_cloudy_or_rain,nw_or_foehn_candidate,0.55,southerly_disrupted,design_evidence_only
month,11,3,2,313,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,11,4,0,396,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,11,4,1,429,northerly_nw_flow;windy;moist_cloudy_or_rain,nw_or_foehn_candidate,0.55,southerly_disrupted,design_evidence_only
month,11,4,2,478,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,11,4,3,277,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,11,5,0,204,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,11,5,1,397,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,11,5,2,269,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,11,5,3,460,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,11,5,4,250,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,11,6,0,146,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
