month,regime_label,cp,cooling_mechanism,n_rows,mean_remaining_warming,mean_tmax_anomaly,fixed_minus_2_trigger_rate,median_min_delta_t_per_h,underpowered_n_lt_30
7,insufficient,20:00,insufficient_obs,4,,-1.2017241379310342,0.0,,true
7,insufficient,21:00,insufficient_obs,4,3.0,-1.2017241379310342,0.0,,true
7,insufficient,22:00,insufficient_obs,3,,-0.6183908045977008,0.0,,true
7,insufficient,23:00,insufficient_obs,3,,-0.6183908045977008,0.0,,true
7,southerly_disrupted,20:00,ambiguous_cooling,13,2.5384615384615383,0.2021220159151197,1.0,-4.0,true
7,southerly_disrupted,20:00,no_material_cooling,299,2.277591973244147,-0.021958251643408744,0.0,-2.0,false
7,southerly_disrupted,20:00,radiative_pre_dawn,39,3.358974358974359,0.2790450928381966,1.0,-4.0,false
7,southerly_disrupted,20:00,southerly_frontal,10,0.6,-2.751724137931034,1.0,-4.0,true
7,southerly_disrupted,21:00,ambiguous_cooling,13,2.5384615384615383,0.2021220159151197,1.0,-4.0,true
7,southerly_disrupted,21:00,no_material_cooling,305,2.183606557377049,-0.01401921989824728,0.0,-2.0,false
7,southerly_disrupted,21:00,radiative_pre_dawn,39,3.2564102564102564,0.2790450928381966,1.0,-4.0,false
7,southerly_disrupted,21:00,southerly_frontal,10,0.6,-2.751724137931034,1.0,-4.0,true
7,southerly_disrupted,22:00,ambiguous_cooling,13,2.230769230769231,0.2021220159151197,1.0,-4.0,true
7,southerly_disrupted,22:00,no_material_cooling,307,1.794788273615635,-0.016870717735594426,0.0,-2.0,false
7,southerly_disrupted,22:00,post_dawn_advective,1,2.0,-1.9517241379310342,1.0,-4.0,true
7,southerly_disrupted,22:00,radiative_pre_dawn,39,2.8461538461538463,0.2790450928381966,1.0,-4.0,false
7,southerly_disrupted,22:00,southerly_frontal,10,0.6,-2.751724137931034,1.0,-4.0,true
7,southerly_disrupted,23:00,ambiguous_cooling,13,1.6153846153846154,0.2021220159151197,1.0,-4.0,true
7,southerly_disrupted,23:00,no_material_cooling,307,1.3159609120521172,-0.016870717735594426,0.0,-2.0,false
7,southerly_disrupted,23:00,post_dawn_advective,1,1.0,-1.9517241379310342,1.0,-4.0,true
7,southerly_disrupted,23:00,radiative_pre_dawn,39,2.1538461538461537,0.2790450928381966,1.0,-4.0,false
