month,cp,wind_sector,n_obs,n_days,total_obs,share,mean_sknt
7,20:00,NW,242,87,6378,0.03794292881781123,10.177685950413224
7,20:00,S,1353,156,6378,0.2121354656632173,18.664449371766445
7,20:00,SE,328,64,6378,0.051426779554719346,10.524390243902438
7,20:00,SW,222,58,6378,0.034807149576669805,17.27027027027027
7,20:00,W,50,28,6378,0.00783944810285356,7.72
7,21:00,E,139,74,7176,0.019370122630992196,3.014388489208633
7,21:00,N,3228,320,7176,0.4498327759197324,11.430607187112763
7,21:00,NE,1335,243,7176,0.18603678929765885,6.394756554307116
7,21:00,NW,270,89,7176,0.03762541806020067,10.344444444444445
7,21:00,S,1528,160,7176,0.2129319955406912,18.737565445026178
7,21:00,SE,375,69,7176,0.05225752508361204,10.512
7,21:00,SW,240,62,7176,0.033444816053511704,17.05
7,21:00,W,61,32,7176,0.008500557413600892,7.590163934426229
7,22:00,E,150,79,7978,0.0188017046878917,3.0533333333333332
7,22:00,N,3630,323,7978,0.45500125344697917,11.497796143250689
7,22:00,NE,1448,245,7978,0.18149912258711456,6.411602209944752
7,22:00,NW,299,97,7978,0.037478064677864124,10.555183946488294
7,22:00,S,1703,166,7978,0.21346202055653046,18.78919553728714
7,22:00,SE,417,73,7978,0.05226873903233893,10.350119904076738
7,22:00,SW,256,65,7978,0.03208824266733517,17.0703125
7,22:00,W,75,36,7978,0.00940085234394585,7.64
7,23:00,E,156,82,8777,0.01777372678591774,3.1153846153846154
7,23:00,N,4042,326,8777,0.46052181838897116,11.588570014844137
7,23:00,NE,1532,249,8777,0.1745471117693973,6.472584856396867
7,23:00,NW,335,104,8777,0.03816793893129771,10.734328358208955
7,23:00,S,1885,173,8777,0.21476586532983935,18.75968169761273
7,23:00,SE,455,74,8777,0.05184003645892674,10.287912087912089
7,23:00,SW,284,72,8777,0.032357297482055375,16.887323943661972
7,23:00,W,88,41,8777,0.010026204853594622,7.4772727272727275
8,20:00,E,132,65,6468,0.02040816326530612,3.0984848484848486
8,20:00,N,3256,339,6468,0.5034013605442177,11.885135135135135
8,20:00,NE,1010,233,6468,0.15615337043908473,5.855445544554455
8,20:00,NW,215,87,6468,0.033240568954854666,11.43720930232558
8,20:00,S,1414,147,6468,0.21861471861471862,18.775106082036775
8,20:00,SE,261,65,6468,0.040352504638218926,9.551724137931034
8,20:00,SW,145,49,6468,0.022418058132343845,16.420689655172414
8,20:00,W,35,20,6468,0.005411255411255411,6.6
8,21:00,E,141,68,7276,0.01937877954920286,3.2056737588652484
8,21:00,N,3671,343,7276,0.5045354590434304,11.919912830291473
8,21:00,NE,1136,241,7276,0.1561297416162727,5.931338028169014
8,21:00,NW,239,92,7276,0.032847718526663,11.435146443514645
8,21:00,S,1594,154,7276,0.21907641561297417,18.888958594730237
8,21:00,SE,292,70,7276,0.040131940626717974,9.438356164383562
8,21:00,SW,159,56,7276,0.021852666300164927,16.0125786163522
8,21:00,W,44,26,7276,0.006047278724573941,6.681818181818182
8,22:00,E,148,69,8078,0.018321366674919536,3.2027027027027026
8,22:00,N,4103,348,8078,0.507922753156722,11.969534486960761
8,22:00,NE,1229,250,8078,0.1521416192126764,6.0553295362082995
8,22:00,NW,270,101,8078,0.03342411487992077,11.507407407407408
8,22:00,S,1777,165,8078,0.2199801931171082,18.905458638154194
8,22:00,SE,325,75,8078,0.04023273087397871,9.430769230769231
8,22:00,SW,173,59,8078,0.02141619212676405,16.07514450867052
8,22:00,W,53,31,8078,0.006561029957910374,6.528301886792453
8,23:00,E,155,71,8884,0.017447095902746512,3.3096774193548386
8,23:00,N,4532,352,8884,0.510130571814498,12.092453662842013
8,23:00,NE,1310,252,8884,0.1474561008554705,6.134351145038168
8,23:00,NW,300,108,8884,0.03376857271499325,11.653333333333334
8,23:00,S,1979,173,8884,0.22276001800990544,18.821121778676098
8,23:00,SE,350,78,8884,0.03939666816749212,9.585714285714285
8,23:00,SW,201,70,8884,0.022624943719045474,15.497512437810945
8,23:00,W,57,34,8884,0.0064160288158487165,6.473684210526316
9,20:00,E,126,63,6519,0.019328117809479982,3.007936507936508
9,20:00,N,3248,337,6519,0.498235925755484,13.938731527093596
9,20:00,NE,881,194,6519,0.13514342690596717,6.248581157775256
9,20:00,NW,336,115,6519,0.05154164749194662,12.657738095238095
9,20:00,S,1412,160,6519,0.21659763767448995,18.19971671388102
9,20:00,SE,328,81,6519,0.050314465408805034,10.893292682926829
9,20:00,SW,107,52,6519,0.016413560362018714,10.467289719626168
9,20:00,W,77,37,6519,0.011811627550237767,8.753246753246753
9,20:00,unknown,4,1,6519,0.0006135910415707931,2.5
9,21:00,E,137,65,7324,0.01870562534134353,3.0364963503649633
9,21:00,N,3673,341,7324,0.5015019115237576,13.95997821943915
9,21:00,NE,974,201,7324,0.13298743855816494,6.386036960985626
9,21:00,NW,371,123,7324,0.050655379574003276,12.644204851752022
9,21:00,S,1577,162,7324,0.2153194975423266,18.218135700697527
9,21:00,SE,378,86,7324,0.05161114145275805,10.97883597883598
9,21:00,SW,125,60,7324,0.017067176406335337,10.264
9,21:00,W,85,39,7324,0.011605679956308028,8.670588235294117
9,21:00,unknown,4,1,7324,0.0005461496450027307,2.5
9,22:00,E,145,72,8130,0.01783517835178352,3.117241379310345
9,22:00,N,4108,345,8130,0.505289052890529,14.084956183057448
9,22:00,NE,1030,202,8130,0.12669126691266913,6.535922330097088
9,22:00,NW,413,132,8130,0.05079950799507995,12.535108958837773
9,22:00,S,1770,176,8130,0.2177121771217712,18.084180790960453
9,22:00,SE,420,92,8130,0.05166051660516605,11.08095238095238
9,22:00,SW,147,65,8130,0.01808118081180812,10.414965986394558
9,22:00,W,93,44,8130,0.011439114391143911,8.591397849462366
9,22:00,unknown,4,1,8130,0.0004920049200492004,2.5
9,23:00,E,151,74,8930,0.01690929451287794,3.165562913907285
9,23:00,N,4524,345,8930,0.5066069428891378,14.269009725906278
9,23:00,NE,1066,209,8930,0.11937290033594625,6.619136960600375
9,23:00,NW,452,141,8930,0.050615901455767075,12.694690265486726
9,23:00,S,2000,197,8930,0.22396416573348266,17.7745
9,23:00,SE,457,96,8930,0.051175811870100785,11.214442013129103
9,23:00,SW,172,77,8930,0.019260918253079507,10.325581395348838
9,23:00,W,104,50,8930,0.011646136618141097,8.48076923076923
9,23:00,unknown,4,1,8930,0.0004479283314669653,2.5
10,20:00,E,118,49,7682,0.015360583181463161,3.2796610169491527
10,20:00,N,4623,398,7682,0.6017964071856288,14.303698896820247
10,20:00,NE,893,203,7682,0.11624576933090341,6.696528555431131
10,20:00,NW,369,110,7682,0.04803436605050768,13.433604336043361
