month,regime_label,cp,tmax_hour_bucket,n_rows,total_rows,bucket_share,underpowered_n_lt_30
6,calm_radiative,22:00,before_13,5,8,0.625,true
6,calm_radiative,22:00,between_13_17,3,8,0.375,true
6,calm_radiative,23:00,before_13,5,8,0.625,true
6,calm_radiative,23:00,between_13_17,3,8,0.375,true
6,insufficient,20:00,after_17,3,4,0.75,true
6,insufficient,20:00,before_13,1,4,0.25,true
6,insufficient,21:00,after_17,3,4,0.75,true
6,insufficient,21:00,before_13,1,4,0.25,true
6,insufficient,22:00,after_17,3,4,0.75,true
6,insufficient,22:00,before_13,1,4,0.25,true
6,insufficient,23:00,after_17,3,4,0.75,true
6,insufficient,23:00,before_13,1,4,0.25,true
6,southerly_disrupted,20:00,after_17,11,356,0.03089887640449438,false
6,southerly_disrupted,20:00,before_13,245,356,0.6882022471910112,false
6,southerly_disrupted,20:00,between_13_17,100,356,0.2808988764044944,false
6,southerly_disrupted,21:00,after_17,11,360,0.030555555555555555,false
6,southerly_disrupted,21:00,before_13,247,360,0.6861111111111111,false
6,southerly_disrupted,21:00,between_13_17,102,360,0.2833333333333333,false
6,southerly_disrupted,22:00,after_17,11,363,0.030303030303030304,false
6,southerly_disrupted,22:00,before_13,248,363,0.6831955922865014,false
6,southerly_disrupted,22:00,between_13_17,104,363,0.2865013774104683,false
6,southerly_disrupted,23:00,after_17,11,366,0.030054644808743168,false
6,southerly_disrupted,23:00,before_13,250,366,0.6830601092896175,false
6,southerly_disrupted,23:00,between_13_17,105,366,0.28688524590163933,false
6,standard_nw,20:00,after_17,1,39,0.02564102564102564,false
6,standard_nw,20:00,before_13,22,39,0.5641025641025641,false
6,standard_nw,20:00,between_13_17,16,39,0.41025641025641024,false
6,standard_nw,21:00,after_17,1,37,0.02702702702702703,false
6,standard_nw,21:00,before_13,22,37,0.5945945945945946,false
6,standard_nw,21:00,between_13_17,14,37,0.3783783783783784,false
6,standard_nw,22:00,after_17,1,35,0.02857142857142857,false
6,standard_nw,22:00,before_13,21,35,0.6,false
6,standard_nw,22:00,between_13_17,13,35,0.37142857142857144,false
6,standard_nw,23:00,after_17,1,29,0.034482758620689655,true
6,standard_nw,23:00,before_13,17,29,0.5862068965517241,true
6,standard_nw,23:00,between_13_17,11,29,0.3793103448275862,true
6,strong_nw_foehn,20:00,after_17,1,20,0.05,true
6,strong_nw_foehn,20:00,before_13,14,20,0.7,true
6,strong_nw_foehn,20:00,between_13_17,5,20,0.25,true
6,strong_nw_foehn,21:00,after_17,1,17,0.058823529411764705,true
6,strong_nw_foehn,21:00,before_13,12,17,0.7058823529411765,true
6,strong_nw_foehn,21:00,between_13_17,4,17,0.23529411764705882,true
6,strong_nw_foehn,22:00,after_17,1,17,0.058823529411764705,true
6,strong_nw_foehn,22:00,before_13,13,17,0.7647058823529411,true
6,strong_nw_foehn,22:00,between_13_17,3,17,0.17647058823529413,true
6,strong_nw_foehn,23:00,after_17,1,20,0.05,true
6,strong_nw_foehn,23:00,before_13,15,20,0.75,true
6,strong_nw_foehn,23:00,between_13_17,4,20,0.2,true
7,calm_radiative,20:00,before_13,6,12,0.5,true
7,calm_radiative,20:00,between_13_17,6,12,0.5,true
7,calm_radiative,21:00,before_13,6,11,0.5454545454545454,true
7,calm_radiative,21:00,between_13_17,5,11,0.45454545454545453,true
7,calm_radiative,22:00,before_13,5,10,0.5,true
7,calm_radiative,22:00,between_13_17,5,10,0.5,true
7,calm_radiative,23:00,before_13,5,10,0.5,true
7,calm_radiative,23:00,between_13_17,5,10,0.5,true
7,insufficient,20:00,after_17,3,4,0.75,true
7,insufficient,20:00,between_13_17,1,4,0.25,true
7,insufficient,21:00,after_17,3,4,0.75,true
7,insufficient,21:00,between_13_17,1,4,0.25,true
7,insufficient,22:00,after_17,3,3,1.0,true
7,insufficient,23:00,after_17,3,3,1.0,true
7,southerly_disrupted,20:00,after_17,11,361,0.030470914127423823,false
7,southerly_disrupted,20:00,before_13,222,361,0.6149584487534626,false
